City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Sovetskaya Gavan,RU,2021-02-18 02:15:53,48.9723,140.2878,18.88,90,99,13.0
166,Esil,KZ,2021-02-18 02:15:53,51.9556,66.4042,8.87,95,100,20.62
167,Port Alfred,ZA,2021-02-18 02:15:53,-33.5906,26.891,70.0,83,0,5.99
168,Tasiilaq,GL,2021-02-18 02:15:54,65.6145,-37.6368,32.0,93,90,25.32
169,Port Elizabeth,ZA,2021-02-18 02:15:54,-33.918,25.5701,68.0,83,0,18.41
170,Itiuba,BR,2021-02-18 02:15:54,-10.6917,-39.8536,74.12,79,100,1.43
171,Thompson,CA,2021-02-18 02:15:54,55.7435,-97.8558,-2.2,92,1,4.25
172,Upernavik,GL,2021-02-18 02:15:54,72.7868,-56.1549,-12.06,87,0,2.66
173,Merauke,ID,2021-02-18 02:11:08,-8.4667,140.3333,85.53,68,45,10.29
174,Tsumeb,NA,2021-02-18 02:15:54,-19.2333,17.7167,66.87,60,77,3.65
175,Dikson,RU,2021-02-18 02:15:54,73.5069,80.5464,-25.35,85,100,11.7
176,Lebu,CL,2021-02-18 02:15:54,-37.6167,-73.65,54.95,87,0,0.92
177,Santa Rosa,PH,2021-02-18 02:15:54,14.3122,121.1114,84.0,61,40,5.75
178,Bikaner,IN,2021-02-18 02:15:54,28.0167,73.3,61.07,29,0,9.44
179,Pailon,BO,2021-02-18 02:15:55,-17.65,-62.75,75.2,88,40,2.3
180,Vigrestad,NO,2021-02-18 02:15:55,58.5667,5.7,39.2,70,75,14.97
181,Kurilsk,RU,2021-02-18 02:15:55,45.2333,147.8833,26.56,91,99,13.69
182,Fort Nelson,CA,2021-02-18 02:15:55,58.8053,-122.7002,10.4,85,40,2.3
183,Ostrovnoy,RU,2021-02-18 02:15:55,68.0531,39.5131,10.54,92,100,18.39
184,Asfi,MA,2021-02-18 02:15:55,32.2994,-9.2372,56.77,81,85,3.44
185,Tuktoyaktuk,CA,2021-02-18 02:15:55,69.4541,-133.0374,-34.6,74,40,4.61
186,Marzuq,YE,2021-02-18 02:15:55,14.4,46.4667,59.83,36,0,3.98
187,Inuvik,CA,2021-02-18 02:14:18,68.3499,-133.7218,-16.6,76,97,2.62
188,Port Antonio,JM,2021-02-18 02:15:55,18.18,-76.4612,80.6,61,20,24.16
189,Victoria,HK,2021-02-18 02:11:28,22.2855,114.1577,64.99,56,44,1.99
190,Sitka,US,2021-02-18 02:15:55,57.0531,-135.33,42.8,56,90,12.66
191,Nanortalik,GL,2021-02-18 02:15:56,60.1432,-45.2371,15.26,81,11,9.15
192,Manakara,MG,2021-02-18 02:15:56,-22.1333,48.0167,77.11,94,92,1.59
193,Esperance,AU,2021-02-18 02:15:56,-33.8667,121.9,69.8,60,90,25.32
194,Vila,PT,2021-02-18 02:15:56,42.0304,-8.1588,51.01,94,100,24.0
195,Naryan-Mar,RU,2021-02-18 02:15:56,67.6713,53.087,2.7,94,100,11.32
196,San Policarpo,PH,2021-02-18 02:15:56,12.1791,125.5072,79.68,74,90,20.42
197,Yulara,AU,2021-02-18 02:15:56,-25.2406,130.9889,96.8,23,75,8.05
198,Moron,AR,2021-02-18 02:15:56,-34.6534,-58.6198,73.0,79,0,5.12
199,Iquitos,PE,2021-02-18 02:15:56,-3.7481,-73.2472,75.2,94,75,1.14
200,Souillac,MU,2021-02-18 02:15:57,-20.5167,57.5167,75.2,88,75,8.05
201,Bandeirantes,BR,2021-02-18 02:15:57,-23.11,-50.3675,68.4,77,0,3.04
202,Kashi,CN,2021-02-18 02:15:57,39.4547,75.9797,35.6,48,20,8.95
203,Lingao,CN,2021-02-18 02:15:57,19.9103,109.6859,68.18,74,96,17.07
204,Moose Factory,CA,2021-02-18 02:15:57,51.2585,-80.6094,1.4,78,1,6.91
205,Taiyuan,CN,2021-02-18 02:11:15,37.8694,112.5603,35.6,32,0,2.24
206,Husavik,IS,2021-02-18 02:15:57,66.0449,-17.3389,32.0,93,20,8.9
207,Chapais,CA,2021-02-18 02:15:57,49.7834,-74.8492,-2.2,84,90,3.44
208,Grenaa,DK,2021-02-18 02:15:57,56.4158,10.8783,33.8,100,90,10.36
209,Portree,GB,2021-02-18 02:15:57,57.4129,-6.1942,41.0,78,100,5.99
210,Sechura,PE,2021-02-18 02:15:58,-5.5569,-80.8222,76.69,73,0,14.74
211,Sao Miguel Do Araguaia,BR,2021-02-18 02:15:58,-13.275,-50.1628,73.4,94,100,2.73
212,Kang,BW,2021-02-18 02:15:58,-23.6752,22.7876,69.31,71,0,6.98
213,Chipiona,ES,2021-02-18 02:15:58,36.7366,-6.437,55.4,100,40,2.3
214,Severo-Kurilsk,RU,2021-02-18 02:15:58,50.6789,156.125,30.85,93,99,10.78
215,Ruteng,ID,2021-02-18 02:15:58,-8.6136,120.4721,75.69,68,98,4.36
216,Sorland,NO,2021-02-18 02:15:58,67.667,12.6934,17.6,86,0,1.14
217,Jacareacanga,BR,2021-02-18 02:15:58,-6.2222,-57.7528,72.3,97,100,2.3
218,Adrar,MR,2021-02-18 02:15:58,20.5022,-10.0711,68.11,24,100,7.47
219,Cururupu,BR,2021-02-18 02:15:17,-1.8283,-44.8683,74.32,95,100,3.09
220,Kharan,PK,2021-02-18 02:15:59,28.5833,65.4167,50.88,35,0,1.86
221,Gasa,PS,2021-02-18 02:15:59,31.5,34.4667,42.01,100,85,18.84
222,Teya,RU,2021-02-18 02:15:59,60.3778,92.6267,-6.02,87,100,6.31
223,Khandyga,RU,2021-02-18 02:15:59,62.6667,135.6,-24.59,84,6,1.21
224,Taormina,IT,2021-02-18 02:15:59,37.8536,15.2885,50.0,89,0,5.75
225,Arcachon,FR,2021-02-18 02:15:59,44.5875,-1.0519,53.01,87,0,4.61
226,Atlantic Beach,US,2021-02-18 02:15:59,30.3344,-81.3987,55.99,88,90,8.05
227,Hualmay,PE,2021-02-18 02:15:59,-11.0964,-77.6139,72.37,77,0,5.5
228,Puerto El Triunfo,SV,2021-02-18 02:15:59,13.2833,-88.55,77.0,88,0,2.3
229,Marigot,MF,2021-02-18 02:15:59,18.0667,-63.0833,77.0,73,20,18.41
230,Awbari,LY,2021-02-18 02:16:00,26.5921,12.7805,41.31,64,89,3.76
231,Aden,YE,2021-02-18 02:16:00,12.7794,45.0367,75.63,75,78,15.64
232,Fenyi,CN,2021-02-18 02:16:00,27.8112,114.6681,54.68,57,0,4.79
233,Amursk,RU,2021-02-18 02:16:00,50.2261,136.8994,10.72,87,71,0.94
234,Mar Del Plata,AR,2021-02-18 02:16:00,-38.0023,-57.5575,66.99,88,90,6.02
235,Casambalangan,PH,2021-02-18 02:16:00,18.3765,122.1274,69.76,84,100,21.07
236,Owando,CG,2021-02-18 02:16:01,-0.4819,15.8999,73.78,84,92,3.69
237,Puerto Escondido,MX,2021-02-18 02:16:01,15.85,-97.0667,77.0,78,20,5.75
238,Letnik,RU,2021-02-18 02:16:01,46.011,41.2657,7.72,94,7,5.84
239,Caapucu,PY,2021-02-18 02:16:01,-26.2167,-57.2,67.86,53,0,4.72
240,Bathsheba,BB,2021-02-18 02:16:01,13.2167,-59.5167,77.0,69,20,19.57
241,Zadar,HR,2021-02-18 02:16:01,44.1197,15.2422,33.8,100,25,2.3
242,Deputatskiy,RU,2021-02-18 02:16:01,69.3,139.9,-21.84,89,100,2.86
243,Tan An,VN,2021-02-18 02:11:22,10.5333,106.4167,75.2,64,0,4.36
244,Bambous Virieux,MU,2021-02-18 02:16:01,-20.3428,57.7575,75.99,88,75,8.05
245,Thana,PK,2021-02-18 02:16:02,34.6369,72.0739,50.34,40,0,6.85
246,Bilibino,RU,2021-02-18 02:16:02,68.0546,166.4372,-10.86,80,0,2.28
247,Sola,VU,2021-02-18 02:16:02,-13.8833,167.55,82.69,72,32,2.46
248,Pacific Grove,US,2021-02-18 02:12:31,36.6177,-121.9166,55.4,71,1,4.61
249,Ottawa,CA,2021-02-18 02:15:53,45.4112,-75.6981,14.0,79,40,4.61
250,Vostok,RU,2021-02-18 02:16:02,46.4856,135.8833,6.96,94,100,5.19
251,Viedma,AR,2021-02-18 02:16:02,-40.8135,-62.9967,69.01,65,0,1.01
252,Gat,IL,2021-02-18 02:16:02,31.61,34.7642,42.01,100,71,12.26
253,Iluppur,IN,2021-02-18 02:16:03,10.5135,78.6236,73.4,83,40,4.61
254,Muisne,EC,2021-02-18 02:16:03,0.6,-80.0333,77.63,84,60,5.77
255,Kalabo,ZM,2021-02-18 02:16:03,-14.97,22.6814,65.19,94,100,2.98
256,Necochea,AR,2021-02-18 02:16:03,-38.5473,-58.7368,61.0,98,0,4.0
257,Gambela,ET,2021-02-18 02:16:03,8.25,34.5833,80.51,26,100,0.36
258,Lagos,NG,2021-02-18 02:12:32,6.5833,3.75,76.78,90,84,2.17
