City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
611,Naze,JP,73.4,28.3667,129.4833,奄美ポートタワーホテル
616,Takanabe,JP,71.6,32.1333,131.5,Hotel AZ Miyazaki Takanabe
618,Flinders,AU,75.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
622,Cabo Rojo,PR,71.01,18.0866,-67.1457,Hotel Perichi's
626,San Mateo Del Mar,MX,73.09,16.2,-95.0,
627,Ormara,PK,76.95,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
630,Banyumas,ID,88.21,-7.5142,109.2942,base camp driver online banyumas GEL
633,Domoni,KM,83.89,-12.2569,44.5319,Al Djadid
638,Breves,BR,72.86,-1.6822,-50.4803,Hotel e Restaurante Grill
640,Abohar,IN,87.44,30.15,74.1833,OYO 37129 Hotel Piccadily
641,Zhuhai,CN,84.99,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
642,Acapulco,MX,73.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Ambilobe,MG,83.55,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
648,Kirakira,SB,83.41,-10.4544,161.9205,SanBiz Lodge
649,Mecca,SA,72.16,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
650,Viga,PH,80.19,13.8719,124.3091,Ning Ning Olarte Ferma
652,Phalombe,MW,76.17,-15.8064,35.6507,RIVONIA
654,Talara,PE,73.65,-4.5772,-81.2719,Hostal Oro Negro
658,Tabou,CI,77.56,4.423,-7.3528,hotêl doufoulougou
659,Namatanai,PG,84.83,-3.6667,152.4333,Namatanai Hotel
662,Sambava,MG,79.83,-14.2667,50.1667,Melrose
664,Akyab,MM,83.3,20.15,92.9,Hotel Memory
665,Conde,BR,75.2,-7.2597,-34.9075,Pousada Beija Flor
667,Zemio,CF,72.21,5.0314,25.1361,OCHA Office
668,Linqiong,CN,77.0,30.4159,103.4609,Tianlun Tanxianglou Hotel
669,Porto Novo,BJ,80.6,6.4965,2.6036,Tour Eiffel Hotel Benin
673,Paita,PE,73.02,-5.0892,-81.1144,Hotel Náutico de Paita
676,Makokou,GA,71.56,0.5738,12.8642,WAMY RESIDENCE HOTEL
679,Miramar,US,71.01,25.9873,-80.2323,Miramar
680,Salinopolis,BR,78.55,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
682,Port Moresby,PG,86.0,-9.4431,147.1797,Lamana Hotel
685,Metro,ID,86.72,-5.1131,105.3067,OYO 3177 Wisma Lintang
686,Thanatpin,MM,89.6,17.2119,96.3033,Lo Ta Ya Garden
688,Kitgum,UG,78.71,3.2783,32.8867,Jaflo Gardens Hotel
690,Magdalena,PH,80.01,14.1999,121.429,Samparada & Gestiada Residences
692,Senador Jose Porfirio,BR,73.4,-2.5908,-51.9542,Pousada Novo Horizonte
693,Tulum,MX,74.25,20.2167,-87.4667,Kin Ha Tulum
695,Sulya,IN,82.4,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
696,Dwarka,IN,81.84,22.2394,68.9678,Hotel Narayan Avezika Comfort
701,Lima,PE,72.0,-12.0432,-77.0282,Gran Hotel Bolivar Lima
702,Nha Trang,VN,82.4,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
705,Sao Filipe,CV,70.34,14.8961,-24.4956,Tortuga B&B
