City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Banjar,-8.19,114.9675,86.0,79,75,18.41,ID,2021-02-22 06:05:09
117,Cayenne,4.9333,-52.3333,77.0,94,75,6.91,GF,2021-02-22 06:05:13
118,Chincha Alta,-13.4099,-76.1323,72.0,73,0,12.66,PE,2021-02-22 06:05:16
119,Charters Towers,-20.1,146.2667,95.2,28,93,8.25,AU,2021-02-22 06:05:16
120,Tornio,65.8481,24.1466,5.0,78,90,8.05,FI,2021-02-22 06:01:25
121,Dakoro,14.5106,6.765,61.14,28,17,11.86,NE,2021-02-22 06:05:16
122,Matara,5.9485,80.5353,88.21,54,76,5.23,LK,2021-02-22 06:05:16
123,Cidreira,-30.1811,-50.2056,74.66,78,0,17.74,BR,2021-02-22 06:05:20
124,Kavieng,-2.5744,150.7967,84.85,70,68,7.09,PG,2021-02-22 06:05:20
125,Ilulissat,69.2167,-51.1,-0.4,78,9,3.44,GL,2021-02-22 06:05:20
126,Kimbe,-5.5502,150.1429,81.97,82,72,3.58,PG,2021-02-22 06:05:20
127,Hithadhoo,-0.6,73.0833,83.14,71,99,12.24,MV,2021-02-22 06:05:20
128,Port Lincoln,-34.7333,135.8667,65.03,57,90,18.75,AU,2021-02-22 06:05:20
129,Norman Wells,65.282,-126.8329,-32.8,68,20,2.3,CA,2021-02-22 06:05:23
130,Baruun-Urt,46.6806,113.2792,6.75,91,0,8.08,MN,2021-02-22 06:05:26
131,Clyde River,70.4692,-68.5914,-14.8,76,90,9.22,CA,2021-02-22 06:05:26
132,Maceio,-9.6658,-35.7353,73.4,94,0,2.3,BR,2021-02-22 06:05:27
133,Bredasdorp,-34.5322,20.0403,48.2,87,25,7.25,ZA,2021-02-22 06:05:30
134,Guerrero Negro,27.9769,-114.0611,59.54,29,0,3.02,MX,2021-02-22 06:05:30
135,Coquimbo,-29.9533,-71.3436,57.2,94,20,5.75,CL,2021-02-22 06:05:30
136,Bairiki,1.3292,172.9752,82.4,83,40,9.22,KI,2021-02-22 06:05:34
137,Sungaipenuh,-2.0833,101.3833,76.91,74,89,0.96,ID,2021-02-22 06:05:34
138,Yumen,40.2833,97.2,43.25,53,93,6.78,CN,2021-02-22 06:05:34
139,Qaanaaq,77.484,-69.3632,-14.84,68,91,2.8,GL,2021-02-22 06:05:37
140,Acajutla,13.5928,-89.8275,77.59,64,25,5.93,SV,2021-02-22 06:05:38
141,Sitka,57.0531,-135.33,41.0,81,90,8.05,US,2021-02-22 06:05:38
142,Sfantu Gheorghe,45.8667,25.7833,30.0,90,33,0.81,RO,2021-02-22 06:05:38
143,Sheregesh,52.9209,87.9869,15.48,94,100,3.04,RU,2021-02-22 06:05:38
144,Nizwa,22.9333,57.5333,78.62,22,0,2.08,OM,2021-02-22 06:05:38
145,Miraflores,19.2167,-98.8083,66.0,36,1,3.44,MX,2021-02-22 06:05:38
146,Chokurdakh,70.6333,147.9167,-33.21,83,26,7.47,RU,2021-02-22 06:05:38
147,Chitapur,17.1167,77.0833,86.67,32,16,7.96,IN,2021-02-22 06:05:38
148,Kamaishi,39.2667,141.8833,48.2,71,75,2.3,JP,2021-02-22 06:05:38
149,Mar Del Plata,-38.0023,-57.5575,69.01,72,0,20.71,AR,2021-02-22 06:05:41
150,Beyneu,45.3167,55.2,31.55,95,66,13.18,KZ,2021-02-22 06:05:44
151,Soke,13.598,-5.9386,69.35,21,15,10.18,ML,2021-02-22 06:05:44
152,Feira Grande,-9.8944,-36.6793,72.18,88,44,6.13,BR,2021-02-22 06:05:44
153,Waddan,29.1614,16.139,49.77,61,0,8.28,LY,2021-02-22 06:05:45
154,Teluk Nibung,3.001,99.8164,85.95,63,41,8.14,ID,2021-02-22 06:05:45
155,Dongsheng,39.8161,109.9776,41.02,57,55,5.39,CN,2021-02-22 06:05:45
156,Bowen,-20.0167,148.2333,95.0,59,88,12.66,AU,2021-02-22 06:05:45
157,Mastic Beach,40.7668,-72.8521,19.4,73,1,7.23,US,2021-02-22 06:05:48
158,Hit,33.6416,42.8251,49.05,47,5,8.08,IQ,2021-02-22 06:05:48
159,Colesberg,-30.72,25.0972,59.31,57,0,9.84,ZA,2021-02-22 06:05:51
160,Luderitz,-26.6481,15.1594,63.43,70,0,12.46,NA,2021-02-22 06:02:50
161,Vila Velha,-20.3297,-40.2925,77.0,88,40,6.91,BR,2021-02-22 06:01:16
162,East London,-33.0153,27.9116,64.4,77,20,5.75,ZA,2021-02-22 06:01:43
163,Quang Ngai,15.1167,108.8,77.25,62,55,6.08,VN,2021-02-22 06:05:51
164,Melilla,35.2937,-2.9383,53.6,71,20,9.22,ES,2021-02-22 06:05:51
165,Nishihara,26.1842,127.7558,77.0,56,75,9.22,JP,2021-02-22 06:05:55
166,Cherskiy,68.75,161.3,-29.13,84,100,6.13,RU,2021-02-22 06:05:55
167,Narsaq,60.9167,-46.05,19.4,53,75,2.3,GL,2021-02-22 06:05:55
168,Esperance,-33.8667,121.9,78.8,47,45,10.36,AU,2021-02-22 06:05:55
169,Atuona,-9.8,-139.0333,79.12,76,100,16.08,PF,2021-02-22 06:05:55
170,Hasaki,35.7333,140.8333,73.0,35,20,11.5,JP,2021-02-22 06:05:55
171,Nuuk,64.1835,-51.7216,19.38,85,75,3.51,GL,2021-02-22 06:05:55
172,Laukaa,58.7372,29.8453,11.64,96,100,8.99,RU,2021-02-22 06:05:55
173,Chicama,-7.8447,-79.1469,70.99,74,96,5.77,PE,2021-02-22 06:05:56
174,Alice Springs,-23.7,133.8833,96.8,20,0,9.22,AU,2021-02-22 06:02:08
175,Rundu,-17.9333,19.7667,65.5,93,100,8.23,NA,2021-02-22 06:05:56
176,Santiago,-33.4569,-70.6483,64.99,55,0,5.75,CL,2021-02-22 06:01:36
177,Atambua,-9.1061,124.8925,81.32,78,72,7.63,ID,2021-02-22 06:05:56
